LifeDiff,WinProb,CI_low,CI_high
-14.351999999999999,0.022395926300168817,0.0027478528711670854,0.10148529020910432
-14.219999999999999,0.023141490384698093,0.0028847454649053848,0.10351151668550006
-14.088,0.02391126734826307,0.003028442144615447,0.10549886302446089
-13.956,0.024706002516747188,0.0031797438267995334,0.10737220893879286
-13.823999999999998,0.025526461391474006,0.0033647240554416993,0.10927476722325917
-13.692,0.02637343000577463,0.003560432987918398,0.11120684859730581
-13.559999999999999,0.027247715273854226,0.0037674885696135432,0.1131687618499211
-13.427999999999999,0.02815014533061815,0.0039865438003626776,0.11515791697563871
-13.296,0.029081569861026307,0.004218288657437335,0.11716892429240769
-13.164,0.030042860417447595,0.004463522203500225,0.11921032633729407
-13.032,0.031034910723385965,0.004723456465949746,0.12128241677762225
-12.899999999999999,0.03205863696184655,0.004998453200282299,0.12338548621577833
-12.767999999999999,0.03311497804650076,0.005289376189980344,0.12551982193529312
-12.636,0.03420489587369993,0.005592328305606714,0.12768570764095646
-12.504,0.035329375553269336,0.005848353885586197,0.1297168739400006
-12.372,0.036489425615898304,0.006116039818817788,0.13173431353753723
-12.239999999999998,0.03768607819481832,0.006395911005200581,0.13377831411585236
-12.107999999999999,0.0389203891793377,0.0066885153709882635,0.13584907503945853
-11.975999999999999,0.040193438337673075,0.006994424820748238,0.13794679237213917
-11.844,0.041506329406388695,0.00731423622303988,0.1400643385827367
-11.712,0.04286019014362214,0.007654339679873273,0.14220508897607428
-11.579999999999998,0.04425617234314339,0.008071781133395137,0.14437307258700854
-11.447999999999999,0.04569545180615822,0.00851180911837108,0.1465684676971424
-11.315999999999999,0.04717922826763462,0.008975624544915307,0.14879144845918912
-11.184,0.04870872527379566,0.009466067983055992,0.15103642414478846
-11.052,0.050285190007290495,0.009983637961723343,0.1530971105906118
-10.919999999999998,0.05190989305642379,0.010529206025322299,0.15518078000027838
-10.788,0.053584128124697664,0.011104252995155849,0.15798416234746454
-10.655999999999999,0.05530921167679554,0.01171033423188553,0.16037067299944566
-10.524,0.05708648251701938,0.012349082961897682,0.16278632074985744
-10.392,0.05891730129608125,0.013022213703093897,0.1652312501692236
-10.259999999999998,0.06080304994204506,0.013620429916194103,0.16770559983634634
-10.128,0.06274513101112034,0.01422951520433707,0.17020950212102665
-9.995999999999999,0.06474496695392798,0.014902311051890115,0.17274308296548216
-9.863999999999999,0.06680399929278484,0.015716102995395144,0.1753064616646641
-9.732,0.06892368770550075,0.016573626063603155,0.17860788550481457
-9.599999999999998,0.0711055090111408,0.017477148025636647,0.18211161053084124
-9.468,0.07335095605318412,0.01832239259821379,0.18566571958778916
-9.335999999999999,0.07566153647551427,0.019205979121528074,0.1892731865001386
-9.203999999999999,0.07803877138669386,0.020134559674676568,0.1929341860358028
-9.072,0.08048419390803149,0.021109058873439796,0.19664886762406028
-8.939999999999998,0.0829993476010201,0.022129681387189987,0.20041735446306022
-8.808,0.08558578476983825,0.02319850604258,0.20423974263388958
-8.675999999999998,0.08824506463474419,0.02431769499684279,0.20810621689394387
-8.543999999999999,0.09097875137236916,0.02548949603621694,0.21080914347558707
-8.411999999999999,0.09378841201913465,0.026785803845096646,0.2135630539629626
-8.28,0.0966756142342733,0.02825099369473985,0.2174861345663952
-8.148,0.0996419239192338,0.0297939067494066,0.22146102058555286
-8.015999999999998,0.10268890269060175,0.03141839237901214,0.22542836041008885
-7.883999999999999,0.10581810520406074,0.03291920807051781,0.2291676092846035
-7.751999999999999,0.10903107632737331,0.03433430903072372,0.2335849468232235
-7.619999999999999,0.1123293481608578,0.03581235035346777,0.2380698316017294
-7.4879999999999995,0.11571443690440376,0.037425062513069,0.24262576454077875
-7.355999999999998,0.11918783957067988,0.039396952330039106,0.24724061249936258
-7.223999999999998,0.12275103054486997,0.04146835456189925,0.25186998702823926
-7.091999999999999,0.12640545799200711,0.04365257926270622,0.2557032397565569
-6.959999999999999,0.1301525401137762,0.04582159287565254,0.2607379441683038
-6.827999999999999,0.1339936612575145,0.04793040214428143,0.2658363790255746
-6.695999999999998,0.13793016788106272,0.05013124921091624,0.271096036113076
-6.563999999999998,0.14196336437809823,0.05279992364619584,0.27602310865877194
-6.431999999999999,0.14609450876962474,0.055447045368362875,0.2799610141140691
-6.299999999999999,0.15032480826838687,0.05819186040484796,0.28345538426597783
-6.167999999999999,0.15465541472412875,0.061313934918826564,0.28794863214062655
-6.036,0.15908741995881254,0.0645987275138387,0.29229019532640976
-5.903999999999998,0.1636218510021565,0.06804884178307312,0.2970973916760451
-5.7719999999999985,0.1682596652391308,0.07166911652758706,0.30115715826671163
-5.639999999999999,0.1730017454823619,0.07546641124295467,0.30470314282808325
-5.507999999999999,0.1778488949837298,0.07944769584163622,0.30853434603722907
-5.3759999999999994,0.18280183240079176,0.08310063634522027,0.3143586886012453
-5.243999999999998,0.18786118673501936,0.0866490267255655,0.32042967933182326
-5.111999999999998,0.19302749226017968,0.08974151837604909,0.32612633012060227
-4.979999999999999,0.19830118346052159,0.09355274521752846,0.33211404496224184
-4.847999999999999,0.20368258999971883,0.09806306895132835,0.33698584570227047
-4.715999999999999,0.20917193174277263,0.10215143499262927,0.3411018848857228
-4.584,0.2147693138542632,0.10642244804467936,0.345590040459705
-4.451999999999998,0.22047472199744947,0.11085540249002396,0.35014746848422096
-4.3199999999999985,0.22628801765973472,0.11544937978941815,0.3548209962655925
-4.187999999999999,0.23220893363092474,0.12065616220909448,0.36047635075930423
-4.055999999999999,0.23823706966148583,0.12655185887856898,0.3661706867954022
-3.9239999999999995,0.24437188832865003,0.13175126004538282,0.3719026658499525
-3.791999999999998,0.2506127111386929,0.13759964878498562,0.377670908686303
-3.6599999999999984,0.2569587148940126,0.1448597201845404,0.383473996451103
-3.5279999999999987,0.26340892835374846,0.1512378535612642,0.38929399383000346
-3.395999999999999,0.26996222921657936,0.1568842417050424,0.39490867515888867
-3.2639999999999993,0.27661734145402794,0.16237942989789614,0.40131600026709713
-3.131999999999998,0.2833728330220434,0.1697472166433251,0.40737946225636956
-2.9999999999999982,0.2902271139778441,0.17668697344164738,0.4131965924000186
-2.8679999999999986,0.29717843502795765,0.18405288644079051,0.4190303793650445
-2.735999999999999,0.3042248865320919,0.19216459633356314,0.42509322288166895
-2.603999999999999,0.3113643979859129,0.1984600608796297,0.4321161541305607
