LifeDiff,TimeTo2Ticks,WinProb
-14.0,11.0,0.21322615218494392
-13.825,11.0,0.2137928315735042
-13.65,11.0,0.2143928644995592
-13.475,11.0,0.2150264480380956
-13.3,11.0,0.21569378980679865
-13.125,11.0,0.21639510795184502
-12.95,11.0,0.21713063113097797
-12.775,11.0,0.21790059849355067
-12.6,11.0,0.2187052596572053
-12.425,11.0,0.2195448746808357
-12.25,11.0,0.2204197140334622
-12.075,11.0,0.22133005855862484
-11.9,11.0,0.22227619943388316
-11.725,11.0,0.2232584381249867
-11.55,11.0,0.22427708633425827
-11.375,11.0,0.22533246594271267
-11.2,11.0,0.22642490894540607
-11.025,11.0,0.22755475737949196
-10.85,11.0,0.22872236324443151
-10.675,11.0,0.22992808841378673
-10.5,11.0,0.23117230453799448
-10.325,11.0,0.23245539293749923
-10.15,11.0,0.23377774448559369
-9.975000000000001,11.0,0.23513975948029178
-9.8,11.0,0.23654184750453283
-9.625,11.0,0.2379844272739888
-9.45,11.0,0.2394679264717212
-9.275,11.0,0.24099278156890677
-9.100000000000001,11.0,0.24255943763082624
-8.925,11.0,0.24416834810728294
-8.75,11.0,0.24581997460659424
-8.575,11.0,0.24751478665227117
-8.4,11.0,0.2492532614214797
-8.225000000000001,11.0,0.25103588346435
-8.05,11.0,0.25286314440317986
-7.875,11.0,0.25473554261055337
-7.7,11.0,0.25665358286537826
-7.525,11.0,0.2586177759858233
-7.3500000000000005,11.0,0.26062863843812006
-7.175000000000001,11.0,0.2626866919201785
-7.0,11.0,0.26479246291895137
-6.825,11.0,0.26694648224046985
-6.65,11.0,0.26914928451146797
-6.4750000000000005,11.0,0.2714014076515024
-6.300000000000001,11.0,0.27370339231447866
-6.125000000000001,11.0,0.2760557812984891
-5.950000000000001,11.0,0.27845911892288083
-5.775,11.0,0.28091395037147554
-5.600000000000001,11.0,0.2834208210008826
-5.425000000000001,11.0,0.2859802756128651
-5.25,11.0,0.28859285768974324
-5.075000000000001,11.0,0.29125910859185544
-4.9,11.0,0.2939795667161311
-4.725000000000001,11.0,0.2967547666148782
-4.550000000000001,11.0,0.2995852380739419
-4.375,11.0,0.3024715051494495
-4.200000000000001,11.0,0.305414085162429
-4.025,11.0,0.30841348765066734
-3.8500000000000014,11.0,0.31147021327726016
-3.6750000000000007,11.0,0.3145847526954084
-3.5,11.0,0.3177575853691192
-3.325000000000001,11.0,0.32098917834959484
-3.1500000000000004,11.0,0.324279985007221
-2.9750000000000014,11.0,0.3276304437192082
-2.8000000000000007,11.0,0.33104097651309866
-2.625,11.0,0.3345119876665146
-2.450000000000001,11.0,0.33804386226370736
-2.2750000000000004,11.0,0.34163696470965943
-2.1000000000000014,11.0,0.3452916372026958
-1.9250000000000007,11.0,0.3490081981667865
-1.75,11.0,0.3527869406449487
-1.575000000000001,11.0,0.35662813065540877
-1.4000000000000004,11.0,0.3605320055124424
-1.2250000000000014,11.0,0.36449877211408127
-1.0500000000000007,11.0,0.3685286051991639
-0.875,11.0,0.3726216455765002
-0.7000000000000011,11.0,0.3767779983292307
-0.5250000000000004,11.0,0.38099773099777806
-0.3500000000000014,11.0,0.3852808717451137
-0.1750000000000007,11.0,0.38962740750840297
0.0,11.0,0.3940372821414286
0.17499999999999893,11.0,0.39851039455254433
0.34999999999999964,11.0,0.40304659684326005
0.5249999999999986,11.0,0.4076456924529099
0.6999999999999993,11.0,0.41230743431521233
0.8749999999999982,11.0,0.41703152303287516
1.049999999999999,11.0,0.42181760507674587
1.2249999999999996,11.0,0.42666527101634155
1.3999999999999986,11.0,0.4315740537889185
1.5749999999999993,11.0,0.4365434270145533
1.7499999999999982,11.0,0.4415728033649973
1.924999999999999,11.0,0.44666153299434563
2.099999999999998,11.0,0.45180890203980095
2.2749999999999986,11.0,0.45701413120104567
2.4499999999999993,11.0,0.46227637440691166
2.625,11.0,0.4675947175782013
2.799999999999997,11.0,0.472968177495623
2.974999999999998,11.0,0.47839570078187715
3.1499999999999986,11.0,0.48387616300695246
3.3249999999999993,11.0,0.48940836792567033
3.5,11.0,0.49499104685643314
3.674999999999997,11.0,0.5006228582099956
3.849999999999998,11.0,0.5063023871768874
4.024999999999999,11.0,0.5120281455818486
4.199999999999999,11.0,0.5177985719133241
4.375,11.0,0.5236120315356649
4.549999999999997,11.0,0.5294668170912308
4.724999999999998,11.0,0.535361149099056
4.899999999999999,11.0,0.5412931767561432
5.074999999999999,11.0,0.5472609789467849
5.25,11.0,0.55326256546457
5.424999999999997,11.0,0.5592958784509361
5.599999999999998,11.0,0.5653587940532572
5.774999999999999,11.0,0.5714491243045279
5.949999999999999,11.0,0.5775646192257197
6.125,11.0,0.5837029691508455
6.299999999999997,11.0,0.5898618072736836
6.474999999999998,11.0,0.5960387124139829
6.649999999999999,11.0,0.6022312119998104
6.824999999999999,11.0,0.6084367852615197
7.0,11.0,0.6146528666316028
-14.0,11.791666666666666,0.20994608164743972
-13.825,11.791666666666666,0.21055547672086936
-13.65,11.791666666666666,0.2111980742081167
-13.475,11.791666666666666,0.21187408763217658
-13.3,11.791666666666666,0.21258374108334724
-13.125,11.791666666666666,0.2133272692064871
-12.95,11.791666666666666,0.214104917185395
-12.775,11.791666666666666,0.21491694072397863
-12.6,11.791666666666666,0.2157636060238548
-12.425,11.791666666666666,0.21664518975800925
-12.25,11.791666666666666,0.21756197904011773
-12.075,11.791666666666666,0.21851427138911245
-11.9,11.791666666666666,0.21950237468855652
-11.725,11.791666666666666,0.22052660714036362
-11.55,11.791666666666666,0.22158729721238074
