Map,OffenseWinRate,DefenseWinRate,A Captures,B Captures,TotalRounds
Crossfire,0.41509433962264153,0.5849056603773585,43,6,53
Raid,0.4782608695652174,0.5217391304347826,10,9,23
Takeoff,0.29545454545454547,0.7045454545454546,23,2,44
