Team,win_rate,median_fb
AG,59.45945945945946,28.0
DVS,40.42553191489361,16.5
GodL,34.61538461538461,34.0
OUG,30.0,22.0
Q9,52.38095238095239,22.0
SPG,54.285714285714285,24.0
Soul,44.89795918367347,16.0
WL,48.38709677419355,25.0
Wolves,33.33333333333333,30.0
XLR8,40.0,17.0
Xceed,38.095238095238095,18.0
Xrock,42.30769230769231,46.0
