Team,CumulativeLifeDiff,AvgLifeDiff,RoundsPlayed,RoundDiff,AvgTicksPerOffRound,AvgTicksAllowedPerDefRound
OUG,48,0.9230769230769231,52,2,3.8461538461538463,2.730769230769231
Wolves,94,2.41025641025641,39,11,2.4761904761904763,2.7222222222222223
GodL,95,1.9,50,2,3.5833333333333335,2.6538461538461537
SPG,-159,-3.6136363636363638,44,-14,2.409090909090909,3.5
Q9,-7,-0.12280701754385964,57,1,2.9642857142857144,2.7586206896551726
XROCK,44,1.0731707317073171,41,7,3.6,3.857142857142857
