LifeDiff,WinProb_medTime,CI_low,CI_high,WinProb_fastTime,WinProb_slowTime
-16.2,0.014972383612759934,0.001429732436611329,0.09580650672560972,0.014042614477643637,0.015874101518257844
-16.067999999999998,0.015470245876620548,0.0015049376872728361,0.09731305354277978,0.01451001544399639,0.016401448484495706
-15.936,0.015984394432401804,0.0015840925353946382,0.0988407013262704,0.014992737036405931,0.01694601256435673
-15.803999999999998,0.01651534390574671,0.0016674037271945294,0.10038966388036791,0.015491265449337063,0.0175083355245921
-15.671999999999999,0.017063623960102855,0.0017550887581617696,0.1019601545707374,0.016006101226515412,0.018088974808400306
-15.54,0.01762977965285985,0.0018473764240446156,0.10355238622443666,0.01653775961089533,0.018688503895755177
-15.408,0.01821437179401639,0.0019448300822440502,0.10516657102709111,0.01708677089796629,0.019307512665381207
-15.276,0.018817977306901462,0.002047569883012732,0.10680292041721451,0.017653680792004193,0.019946607757816814
-15.143999999999998,0.01944118959042851,0.002155729998449827,0.10846164497766365,0.01823905076483355,0.02060641293895563
-15.011999999999999,0.020084618882312586,0.002283626503989358,0.11014295432421806,0.018843458416623007,0.021287569463402056
-14.879999999999999,0.0207488926226296,0.0024175930956626193,0.11184705699127802,0.019467497838191128,0.0219907364369207
-14.748,0.02143465581704208,0.002544613593263121,0.11357416031467835,0.020111779974250583,0.022716591177199468
-14.616,0.02214257139895856,0.0026782898386553547,0.11532447031161841,0.020776932986967294,0.023465829572082802
-14.483999999999998,0.022873320589833407,0.0028189686548505508,0.11709819155771148,0.02146360261915691,0.02423916643436551
-14.351999999999999,0.023627603256749733,0.0029670147292202324,0.11889552706116154,0.022172452556383226,0.025037335852167466
-14.219999999999999,0.024406138266361378,0.0031228115112067875,0.12071667813407834,0.02290416478716271,0.0258610915338367
-14.088,0.025209663834199036,0.0032854679280721255,0.12256184426094627,0.023659439960415134,0.026711207146251026
-13.956,0.02603893786827186,0.003453348436166426,0.12443122296426579,0.024438997739233328,0.027588476645308706
-13.823999999999998,0.026894738305818434,0.0036297762114300834,0.12632500966739135,0.02524357714997426,0.02849371459731428
-13.692,0.027777863441979602,0.0038151831550440264,0.12824339755459335,0.02607393692559955,0.02942775648987827
-13.559999999999999,0.028689132249081567,0.004010022650246464,0.13018657742837741,0.02693085584211612,0.030391459030858606
-13.427999999999999,0.029629384685128504,0.004214770594892435,0.1321547375640969,0.027815133046885748,0.03138570043377628
-13.296,0.030599481990013045,0.0044299264798515125,0.13414806356190231,0.028727588377488667,0.032411380688040205
-13.164,0.03160030696785662,0.004656014514869826,0.13616673819607336,0.029669062669736672,0.03346942181221373
-13.032,0.03263276425379314,0.004893584803533681,0.13821094126178726,0.03064041805333985,0.03456076808845068
-12.899999999999999,0.03369778056340676,0.005145605775977858,0.1402808494193799,0.031642538233635366,0.035686386276119905
-12.767999999999999,0.03479630492292855,0.005415081571424732,0.1423766360361634,0.032676328757687216,0.03684726580252605
-12.636,0.035929308878188154,0.005698589258777832,0.14449847102586955,0.0337427172629636,0.03804441892851984
-12.504,0.03709778668020363,0.005996850823973998,0.14670887715708736,0.03484265370669219,0.03927888088667367
-12.372,0.03830275544517845,0.006305258013694489,0.14912857830778944,0.03597711057388462,0.04055170998957936
-12.239999999999998,0.03954525528655641,0.006619353314988849,0.15158110457770538,0.03714708306190904,0.04186398770570313
-12.107999999999999,0.04082634941666542,0.0069489859885168105,0.15406666718936934,0.03835358923937442,0.04321681870010953
-11.975999999999999,0.04214712421535962,0.00729491346833845,0.15658547074763024,0.03959767017697287,0.044611330837242405
-11.844,0.04350868926294509,0.007657928975022819,0.15913771294465626,0.040880390047805616,0.04604867514282507
-11.712,0.04491217733455077,0.008040334284717402,0.1617235842617505,0.042202836194597,0.047530025721817665
-11.579999999999998,0.046358744352980444,0.008448613868645167,0.1643432676682315,0.043566119161076826,0.049056579629244555
-11.447999999999999,0.04784956929695707,0.008893383796181402,0.16699693831764745,0.04497137268468716,0.05062955669058176
-11.315999999999999,0.04938585406154646,0.009372284085321002,0.1696847632416076,0.04641975364764474,0.05225019926827339
-11.184,0.05096882326742399,0.009876717854923408,0.1724069010415324,0.0479124419832645,0.053919771970827736
-11.052,0.052599724015528336,0.010408018185519136,0.17516350157863667,0.049450640534326414,0.055639561300829914
-10.919999999999998,0.05427982558352835,0.0109678399347626,0.17795470566247856,0.05103557486014446,0.057410875238099034
-10.788,0.05601041906041616,0.011558038969236144,0.18078064473842098,0.05266849298887615,0.05923504275411494
-10.655999999999999,0.05779281691543278,0.012179606559241829,0.18364144057436932,0.05435066511149484,0.061113413253745426
-10.524,0.05962835249742969,0.012834166760368361,0.1865372049471628,0.056083383213732386,0.06304735594021704
-10.392,0.061518379460678604,0.01352342295503246,0.18946803932901582,0.05786796064219465,0.06503825909919926
-10.259999999999998,0.06346427111305618,0.014170263019456543,0.19243403457441627,0.059705731600749455,0.0670875292978062
