,Team,RotationWin,BreakSuccess,ScrapPoints,ControlSharePct,AvgScoreDiff
0,OUG,43.18181818181818,47.05882352941176,279,31.100427350427353,23.85714285714286
1,Wolves,40.54054054054054,45.94594594594595,340,32.398648648648646,41.0
2,GodL,45.23809523809524,35.8974358974359,315,30.895061728395063,58.75
3,Q9,42.5,29.629629629629626,366,26.365248226950357,-7.25
4,XROCK,41.46341463414634,20.967741935483872,297,22.60517799352751,-44.2
5,SPG,28.30188679245283,19.35483870967742,211,22.172619047619047,-24.950000000000003
