ScoreDiff_P4,Map,WinProb_Team1,CI_low,CI_high
-157.1,Apocalypse,0.0152392335763279,0.0036007500739213,0.0473378521618215
-155.654,Apocalypse,0.0158142021114043,0.0037816031778597,0.0488267394333873
-154.208,Apocalypse,0.0164105024104393,0.0039715037134378,0.0504489821066256
-152.762,Apocalypse,0.0170288981472195,0.0041709005655699,0.0519030947376259
-151.316,Apocalypse,0.017670178206852,0.0043802645070703,0.0533945931399433
-149.87,Apocalypse,0.0183351573534303,0.004600089226416,0.0549264935703223
-148.424,Apocalypse,0.0190246769020933,0.0048308923996692,0.0564859784914397
-146.978,Apocalypse,0.0197396053942296,0.0050732168080206,0.0581131992679882
-145.53199999999998,Apocalypse,0.0204808392744514,0.0053276315024166,0.0597363177487965
-144.08599999999998,Apocalypse,0.0212493035678158,0.0055947330167217,0.0614331488537308
-142.64,Apocalypse,0.0220459525556262,0.0058751466308541,0.0631668462984613
-141.194,Apocalypse,0.0228717704479852,0.006169527685305,0.0648830172635228
-139.748,Apocalypse,0.0237277720511015,0.0064785629484187,0.0667930188795812
-138.302,Apocalypse,0.0246150034271738,0.0068029720377597,0.0686802123066531
-136.856,Apocalypse,0.0255345425444868,0.0071435088968361,0.0708561895422712
-135.41,Apocalypse,0.026487499915151,0.0075009633283705,0.0732394670636477
-133.964,Apocalypse,0.0274750192177104,0.0078593282236771,0.0752788031387486
-132.518,Apocalypse,0.0284982779016187,0.0081740237103156,0.0773231712581219
-131.072,Apocalypse,0.0295584877703501,0.0085210183813707,0.0794143865419427
-129.626,Apocalypse,0.0306568955396698,0.008948263285593,0.0815565047806185
-128.18,Apocalypse,0.0317947833673317,0.0093982811864382,0.0837507012352057
-126.734,Apocalypse,0.0329734693502046,0.0098713876800513,0.085755938629949
-125.288,Apocalypse,0.0341943079845547,0.0103680610655427,0.0879335113631109
-123.842,Apocalypse,0.0354586905849196,0.0108894495928975,0.0903502351164583
-122.396,Apocalypse,0.0367680456567183,0.0114367548123578,0.0928266202167388
-120.95,Apocalypse,0.0381238392174299,0.0120112337747937,0.0953630693550602
-119.504,Apocalypse,0.039527575060864,0.0125341496318753,0.098009715629263
-118.058,Apocalypse,0.0409807949587196,0.0130714994028203,0.1006247270592199
-116.612,Apocalypse,0.0424850787933039,0.0136315812092122,0.1033248193268348
-115.166,Apocalypse,0.0440420446149481,0.0142850081537264,0.1060407453590944
-113.72,Apocalypse,0.0456533486173183,0.0149921172614164,0.1088193979524317
-112.274,Apocalypse,0.0473206850234858,0.0158475166584013,0.1116617680106001
-110.828,Apocalypse,0.0490457858752787,0.0166305491749984,0.1145688376640247
-109.382,Apocalypse,0.0508304207181041,0.0174751849575422,0.1175415786897763
-107.936,Apocalypse,0.0526763961731016,0.0182024679767271,0.1205809508672674
-106.49,Apocalypse,0.054585555388165,0.0190583450478644,0.1236879002699866
-105.044,Apocalypse,0.0565597773590659,0.0199915063831888,0.1271046452582071
-103.598,Apocalypse,0.0586009761116155,0.0209693894935014,0.1308047534659263
-102.152,Apocalypse,0.0607110997355303,0.0219940402157425,0.1343982248705563
-100.706,Apocalypse,0.062892129260421,0.023069034083286,0.137911001479004
-99.26,Apocalypse,0.0651460773641037,0.02405257734339,0.1415006047593358
-97.814,Apocalypse,0.0674749869032493,0.0249589381858155,0.1451679282438943
-96.368,Apocalypse,0.0698809292562462,0.026129829959164,0.1489138336605176
-94.922,Apocalypse,0.0723660024680533,0.0272040430129485,0.1527391483731325
-93.476,Apocalypse,0.0749323291867819,0.0283261960352768,0.156644662765846
-92.03,Apocalypse,0.0775820543817606,0.0296779112806406,0.1606171811237139
-90.584,Apocalypse,0.0803173428329277,0.0308422761899559,0.1646664579090283
-89.13799999999999,Apocalypse,0.0831403763815556,0.0322026259205627,0.1687973029362725
-87.692,Apocalypse,0.0860533509325622,0.0338809059523391,0.173007710668593
-86.246,Apocalypse,0.0890584731990011,0.0353810269917481,0.177376237233637
-84.8,Apocalypse,0.0921579571797649,0.0371284099980988,0.1825091091085953
-83.354,Apocalypse,0.095354020362086,0.0388661276277037,0.187508552448867
-81.908,Apocalypse,0.0986488796410851,0.0403436358384285,0.1915867386853009
-80.462,Apocalypse,0.1020447469494177,0.0418778711105335,0.1959681987634332
-79.01599999999999,Apocalypse,0.105543824590994,0.043467843190157,0.2014023422546805
-77.57,Apocalypse,0.109148300273825,0.0455072541520583,0.2065252466498435
-76.124,Apocalypse,0.1128603418382704,0.0474254129544681,0.2117171299202636
-74.678,Apocalypse,0.1166820916783454,0.0494738452672074,0.2176651176697349
-73.232,Apocalypse,0.1206156608552869,0.0514275023652486,0.2224255985352016
-71.786,Apocalypse,0.1246631229042971,0.0536573240766246,0.2279566844362242
-70.34,Apocalypse,0.128826507337262,0.0559783867211684,0.2335771275904442
-68.89399999999999,Apocalypse,0.1331077928463035,0.0583534505083247,0.2394154913078764
-67.448,Apocalypse,0.1375089002152553,0.0608698766636405,0.2460581480189598
-66.002,Apocalypse,0.1420316849485557,0.0635075345466242,0.2528239339612282
-64.556,Apocalypse,0.1466779296296239,0.0662173905581491,0.2598283899429321
-63.11,Apocalypse,0.151449336023516,0.0690365909170201,0.2673512988356736
-61.664,Apocalypse,0.1563475169415446,0.0719668033508431,0.2750076811711091
-60.218,Apocalypse,0.1613739878885643,0.0750198555304315,0.2815027816164884
-58.77199999999999,Apocalypse,0.1665301585167761,0.0782014456008989,0.2884544850356368
-57.32599999999999,Apocalypse,0.1718173239131481,0.0815128819304212,0.2959539420617804
