ScoreDiff_P4,Map,WinProb_Team1,CI_low,CI_high
-157.1,Summit,0.0147345004066622,0.0031544941660695,0.0500242034571813
-155.654,Summit,0.0152907213081709,0.003305919154786,0.0513645192695439
-154.208,Summit,0.0158676011476855,0.0034582892672364,0.0527446867631463
-152.762,Summit,0.0164658812577848,0.0036295741220089,0.0541517097699564
-151.316,Summit,0.0170863275802519,0.0037972974887342,0.0555758980019572
-149.87,Summit,0.0177297313287696,0.0039527822956334,0.05705468259032
-148.424,Summit,0.018396909657034,0.0041148440239433,0.0587044505674765
-146.978,Summit,0.0190887063311531,0.0042841590489666,0.0609114178120102
-145.53199999999998,Summit,0.0198059924050719,0.0044604132333592,0.0626726537314727
-144.08599999999998,Summit,0.0205496668976337,0.0046438885090904,0.0641527989743693
-142.64,Summit,0.021320657469743,0.0048382420506718,0.0657490671250986
-141.194,Summit,0.0221199210999503,0.0050646153040939,0.0678614495756077
-139.748,Summit,0.0229484447566116,0.0053024401667794,0.0694076412581947
-138.302,Summit,0.0238072460646128,0.0055541559138115,0.0712083491167747
-136.856,Summit,0.0246973739644632,0.0058470330710121,0.0733902203549971
-135.41,Summit,0.0256199093613756,0.0061558209133872,0.0756282720076229
-133.964,Summit,0.0265759657617467,0.0064808099050208,0.07792883670548
-132.518,Summit,0.0275666898942415,0.0068228385579267,0.0802817393325179
-131.072,Summit,0.0285932623124614,0.0071827875360525,0.0826970848330628
-129.626,Summit,0.0296568979759409,0.0075615816389769,0.084778049097521
-128.18,Summit,0.030758846805975,0.0079601918640952,0.0866575285392026
-126.734,Summit,0.0319003942125207,0.0083837281792026,0.0892927598774038
-125.288,Summit,0.0330828615881499,0.0088205588412497,0.092640260382585
-123.842,Summit,0.0343076067647545,0.0092396284524313,0.0952348817767025
-122.396,Summit,0.035576024428414,0.009637344341958,0.0975940714178922
-120.95,Summit,0.0368895464875408,0.0101361152370842,0.1000052971153801
-119.504,Summit,0.0382496423891092,0.0106188301460773,0.1030292791356345
-118.058,Summit,0.0396578193774606,0.011097621865473,0.1064005646960945
-116.612,Summit,0.0411156226898533,0.0115726475867393,0.1096280978592914
-115.166,Summit,0.0426246356825977,0.0121177940440448,0.1134591902581721
-113.72,Summit,0.0441864798812823,0.0126376952452522,0.1169537412889569
-112.274,Summit,0.0458028149482604,0.0131533465864279,0.1202701958353744
-110.828,Summit,0.0474753385602282,0.0136658459983886,0.1230800820792783
-109.382,Summit,0.0492057861883876,0.0142424541880901,0.1259456525260899
-107.936,Summit,0.0509959307733513,0.0148473332619467,0.1296077909330183
-106.49,Summit,0.0528475822866219,0.015538772487994,0.1336649304127081
-105.044,Summit,0.0547625871701549,0.0161932565956648,0.1367984393477471
-103.598,Summit,0.0567428276452079,0.0168922810628737,0.1399763575364978
-102.152,Summit,0.0587902208813905,0.0175854160540301,0.1432158954460389
-100.706,Summit,0.0609067180165558,0.0183234777191337,0.1468649522878917
-99.26,Summit,0.0630943030179306,0.0190929359009808,0.1514824902112209
-97.814,Summit,0.0653549913746659,0.0198956640223321,0.1562186937701087
-96.368,Summit,0.0676908286118092,0.0208048137649799,0.1610749376337939
-94.922,Summit,0.0701038886155627,0.0217675584064241,0.1660525037982277
-93.476,Summit,0.0725962717595978,0.0226727824518678,0.1710801650891525
-92.03,Summit,0.0751701028221645,0.0236139821973389,0.1764083354437962
-90.584,Summit,0.077827528683754,0.0245932701897606,0.1817863659840667
-89.13799999999999,Summit,0.0805707157951704,0.0256121046673909,0.1875701882419841
-87.692,Summit,0.0834018474060367,0.026674425754354,0.1928992288929817
-86.246,Summit,0.0863231205440147,0.0278399140093232,0.198392322732366
-84.8,Summit,0.0893367427353676,0.0289635088616708,0.2038687042782197
-83.354,Summit,0.0924449284579461,0.0305766810273462,0.2103790475877111
-81.908,Summit,0.0956498953182347,0.0315853771605466,0.2166619265791994
-80.462,Summit,0.0989538599447804,0.0326465840335034,0.2229380284105305
-79.01599999999999,Summit,0.1023590335911288,0.0339864088347496,0.2293427271266603
-77.57,Summit,0.1058676174423367,0.0353792100614032,0.2358755928341641
-76.124,Summit,0.10948179762022,0.0368269145747454,0.2425339658933425
-74.678,Summit,0.1132037398837285,0.0383324808708787,0.2492727182175796
-73.232,Summit,0.1170355840222415,0.0398972143159081,0.2561355150198372
-71.786,Summit,0.1209794379411336,0.0415230624250676,0.2619347210745402
-70.34,Summit,0.1250373714406907,0.04330246594929,0.2677043146121807
-68.89399999999999,Summit,0.1292114096913564,0.0453904192873108,0.2735539920978159
-67.448,Summit,0.1335035264103618,0.0475741034533505,0.2799972464418639
-66.002,Summit,0.1379156367470423,0.0498574174303584,0.2875282213877494
-64.556,Summit,0.1424495898865605,0.0522443707517007,0.2951788928376246
-63.11,Summit,0.1471071613843446,0.054205170252783,0.3023572766856612
-61.664,Summit,0.1518900452462949,0.0561546437046576,0.3107658651128048
-60.218,Summit,0.1567998457727122,0.0581710692719146,0.3182325231388748
-58.77199999999999,Summit,0.1618380691869311,0.0601050277780295,0.3270957043946157
-57.32599999999999,Summit,0.1670061150728047,0.062393361635631,0.3353832112627302
-55.879999999999995,Summit,0.1723052676484373,0.0647221166905135,0.3437734692162285
-54.434,Summit,0.1777366869069044,0.0675687594233907,0.3522212183772715
-52.988,Summit,0.1833013996580852,0.0705326930241515,0.3607149405070023
-51.542,Summit,0.1890002905091424,0.0736230888248944,0.3693563529037836
-50.096,Summit,0.1948340928245804,0.0768377210166219,0.3773594356802194
-48.64999999999999,Summit,0.2008033797101599,0.0798946537411853,0.3850184683802619
