ScoreDiff_P4,WinProb_Team1,CI_low,CI_high
-143.9,0.026286779548757425,0.003697700689580052,0.09943077031052243
-142.526,0.027161391895562687,0.0038738715685692157,0.10172733494702772
-141.15200000000002,0.028064265579458104,0.004058401951301908,0.10346993261033256
-139.77800000000002,0.028996257202274927,0.0042516851872178435,0.10581990754362239
-138.404,0.02995824551339768,0.004454132810234532,0.10861175553903768
-137.03,0.030951131720224723,0.004666175347712868,0.11149846192838962
-135.656,0.03197583978310478,0.0048853828662732985,0.11359737476172016
-134.282,0.03303331669287373,0.005103835498594768,0.11625527199287744
-132.90800000000002,0.03412453272900078,0.005332006780368716,0.11899123699478183
-131.534,0.03525048169623577,0.0055944776839818204,0.121675817340538
-130.16,0.03641218113752703,0.005870186201459137,0.12464366043152451
-128.786,0.03761067252085478,0.0061594012510160145,0.12708578399393775
-127.412,0.03884702139749626,0.006456739529798406,0.12908796007210693
-126.03800000000001,0.0401223175291082,0.006762701426392983,0.1313748653302589
-124.664,0.041437674980879545,0.007083059719987297,0.134274932930752
-123.29,0.04279423217787052,0.007418481837668903,0.13735812892382315
-121.916,0.04419315192151901,0.0077696651800699896,0.1403843294336251
-120.542,0.045635621363156034,0.0081051397884487,0.14243489966309728
-119.168,0.04712285193123531,0.008451854771823203,0.14466086002970135
-117.79400000000001,0.04865607920884289,0.008813399276750098,0.14746172860700937
-116.42,0.05023656275791754,0.009192657687737993,0.15030733170183508
-115.046,0.05186558588647722,0.009615785206284965,0.15319801384246978
-113.672,0.053544455355016965,0.010160665712270764,0.1561341073738301
-112.298,0.05527450101811447,0.010738057387719284,0.15911593180904904
-110.924,0.05705707539716038,0.011249541570558505,0.1621282459575723
-109.55000000000001,0.058893553180012964,0.011781676538434172,0.16580978368989865
-108.176,0.06078533064327165,0.012338672019167399,0.16965898816111472
-106.80199999999999,0.06273382499276588,0.012921659228249453,0.1735790472347836
-105.428,0.0647404736177703,0.013531817925365381,0.17836656564174952
-104.054,0.06680673325438422,0.014170378212448815,0.18328579881075505
-102.68,0.06893407905345571,0.014838622369797763,0.18663242688929887
-101.30600000000001,0.07112400354839064,0.015579781642062732,0.190109631853705
-99.932,0.07337801551816502,0.01636395954165539,0.19444617818407833
-98.55799999999999,0.07569763874085905,0.017188075225052113,0.19944307048998186
-97.184,0.07808441063305703,0.018052933001230342,0.2045359681920453
-95.81,0.08053988077050507,0.018960468572865492,0.2097250399110478
-94.436,0.08306560928550115,0.019869239612908377,0.21476032047786686
-93.06200000000001,0.08566316513660076,0.020774159608599657,0.21871703816702928
-91.688,0.08833412424636884,0.021806913754423854,0.22272615171964244
-90.314,0.09108006750309068,0.02288984570954132,0.2267801408415778
-88.94,0.09390257862257723,0.023850865915221384,0.23148018627794245
-87.566,0.09680324186646716,0.024785780801296335,0.23644355209642456
-86.19200000000001,0.09978363961373803,0.02575640802989299,0.24147985709366238
-84.818,0.10284534978249962,0.026885766131430937,0.2469246273049713
-83.444,0.10598994309955286,0.028111073484914165,0.25333672188642165
-82.07,0.10921898021566351,0.02921748199285136,0.25951081933310155
-80.696,0.11253400866501796,0.030366076612968813,0.26492724998427536
-79.322,0.11593655966790921,0.031558356977873576,0.271107770120479
-77.94800000000001,0.11942814477633763,0.03280144166543292,0.27640568891659506
-76.574,0.12301025236291256,0.03411855650333605,0.28227674827349303
-75.2,0.12668434395420178,0.03563933414677728,0.28807508366770584
-73.826,0.13045185041050236,0.03691913135919867,0.292773173569727
-72.452,0.1343141679548954,0.03824517803904856,0.29815204072933454
-71.078,0.13827265405539851,0.03977231100795383,0.30371645127001395
-69.704,0.1423286231650457,0.04167100035764302,0.30933895729023864
-68.33,0.1464833423257962,0.043656285862946426,0.31586755857364796
-66.956,0.15073802664330965,0.045731718040265615,0.3221145559126472
-65.582,0.1550938346408063,0.04790095399781086,0.32952080732541295
-64.208,0.15955186350147302,0.05016775669930646,0.3365362608046448
-62.834,0.16411314421015374,0.05247849103696743,0.3410419177336237
-61.459999999999994,0.16877863660638356,0.054595832648558155,0.3454602468654564
-60.086,0.17354922436217873,0.0567939710950282,0.3510792154909935
-58.712,0.178425709899368,0.05908139868132798,0.35752135248660577
-57.337999999999994,0.18340880926263883,0.061460318356933656,0.3640389105897781
-55.964,0.18849914696586395,0.06392860482519735,0.3705834170706417
-54.59,0.19369725083065625,0.06648908676133446,0.3771756430198622
-53.215999999999994,0.19900354683746074,0.0691446389656465,0.383636721198714
-51.842,0.20441835401081926,0.07178673809891174,0.38944615639627655
-50.468,0.2099418793617216,0.07457592263094036,0.39552654365168105
-49.093999999999994,0.21557421291116616,0.07769074062543936,0.40216723159524365
-47.72,0.22131532282018637,0.0807348660152706,0.409172846463314
-46.346000000000004,0.22716505065263087,0.08388743153247515,0.41710365489843715
-44.971999999999994,0.23312310679790216,0.0871514409212017,0.42361180139706
-43.598,0.2391890660816435,0.09053843079003324,0.4310193487661443
-42.224000000000004,0.24536236359299782,0.09405672133987321,0.4384694498700736
-40.849999999999994,0.25164229075752925,0.09767281162444011,0.4468625125541833
-39.476,0.25802799168517826,0.10139970254952088,0.45501789501817136
-38.102000000000004,0.2645184598227041,0.10527551047621955,0.4631176514869325
-36.727999999999994,0.2711125349399327,0.10923476835515081,0.4711729172762181
-35.354,0.27780890047876156,0.11342915155367363,0.47715921063085376
-33.97999999999999,0.28460608129327136,0.11767857886830212,0.48372974717803724
-32.605999999999995,0.29150244180842744,0.12130719524707881,0.4918407151511797
-31.232,0.29849618462374233,0.12502913417020337,0.4988922127893242
