Map,Hill,AvgPossessionChanges
Summit,P2,3.1666666666666665
Summit,P1,3.1578947368421053
Hacienda,P1,3.066666666666667
Summit,P4,2.857142857142857
Apocalypse,P1,2.8333333333333335
Apocalypse,P3,2.75
Combine,P3,2.6363636363636362
Combine,P2,2.6153846153846154
Combine,P1,2.466666666666667
Hacienda,P2,2.4166666666666665
Slums,P1,2.4
Hacienda,P4,2.3
Slums,P3,2.25
Slums,P4,2.25
Slums,P2,2.0
Apocalypse,P4,2.0
Apocalypse,P2,1.9333333333333333
Hacienda,P3,1.8333333333333333
Summit,P3,1.8
Combine,P4,1.7
