Team,RotationWin,BreakSuccess,AvgHoldDuration (s),AvgBreakDuration (s),ScrapPoints,DominantHill,DominantAvgPoints,WeakestHill,WeakestAvgPoints
DVS,33.33333333333333,0.0,10.0,2.8,44,P4,24.0,P1,17.666666666666668
XLR8,50.0,25.0,10.375,6.75,28,P3,31.666666666666668,P2,13.333333333333334
