Offense,AvgRoundLen_s,RoundElapsed_s_CI_low,RoundElapsed_s_CI_high,AvgFBElapsed_s,FBElapsed_s_CI_low,FBElapsed_s_CI_high,AvgPlantElapsed_s,PlantElapsed_s_CI_low,PlantElapsed_s_CI_high
GodL,66.62244897959184,61.61147959183674,71.0923469387755,23.5,20.806122448979593,26.959693877551018,50.0,44.344897959183676,55.939795918367345
OUG,76.46153846153847,71.90977564102565,81.52676282051281,24.173076923076923,21.4161858974359,26.918108974358976,52.97826086956522,46.358695652173914,59.15353260869565
Q9,76.79069767441861,72.37984496124031,80.96124031007751,28.891472868217054,25.527131782945737,32.41899224806201,54.57692307692308,49.253846153846155,60.56634615384615
SPG,85.45454545454545,80.65646853146853,90.48986013986014,32.09090909090909,28.790034965034966,35.951573426573425,62.10112359550562,55.595224719101125,69.03426966292135
Wolves,91.128,86.1194,96.0732,32.824,28.991400000000002,36.6408,78.13207547169812,71.81037735849057,84.32122641509433
XROCK,87.02678571428571,81.46361607142856,92.2234375,32.30357142857143,27.69620535714286,37.152232142857144,66.48979591836735,58.405102040816324,74.20612244897958
