Offense,WinRate_NoPlant,WinRate_Plant
GodL,30.612244897959183,67.3469387755102
OUG,10.9375,68.47826086956522
Q9,15.686274509803921,74.35897435897436
SPG,24.074074074074073,74.15730337078652
Wolves,19.444444444444446,77.35849056603774
XROCK,11.11111111111111,69.38775510204081
