Team,PlantRate,RetakeRate,RoundDiff,FBRate
GodL,50.0,30.434782608695652,10,45.26315789473684
OUG,58.97435897435898,33.333333333333336,-5,49.201277955271564
Q9,60.46511627906976,37.735849056603776,38,49.20634920634921
SPG,62.23776223776224,18.64406779661017,25,49.82078853046595
Wolves,42.4,33.8235294117647,-2,53.65853658536585
XROCK,43.75,19.718309859154928,-34,52.56410256410256
