Map,Plants_A,Plants_B,TotalPlants,Share_A,Share_B
Firing Range,104,45,149,69.79865771812081,30.201342281879196
Standoff,32,15,47,68.08510638297872,31.914893617021278
Tunisia,59,57,116,50.86206896551724,49.13793103448276
Coastal,34,38,72,47.22222222222222,52.77777777777778
Kurohana,20,27,47,42.5531914893617,57.4468085106383
