Map,Plants_A,Plants_B,TotalPlants,Share_A,Share_B
Firing Range,48,14,62,77.41935483870968,22.580645161290324
Standoff,20,8,28,71.42857142857143,28.571428571428573
Tunisia,32,28,60,53.333333333333336,46.666666666666664
Coastal,19,26,45,42.22222222222222,57.77777777777778
Kurohana,8,16,24,33.333333333333336,66.66666666666667
