Winner,Post Plant,Pre Plant,TotalRoundsWon,Share_Post Plant,Share_Pre Plant
SPG,40,39,79,50.63291139240506,49.36708860759494
Q9,39,37,76,51.31578947368421,48.68421052631579
OUG,43,30,73,58.9041095890411,41.0958904109589
Wolves,39,33,72,54.166666666666664,45.833333333333336
XROCK,32,32,64,50.0,50.0
GodL,26,25,51,50.98039215686274,49.01960784313726
