Offense,PlantRate,AttackWinRate
SPG,63.888888888888886,55.55555555555556
OUG,60.56338028169014,43.66197183098591
Q9,59.09090909090909,50.0
GodL,50.847457627118644,38.983050847457626
Wolves,42.10526315789473,43.42105263157895
XROCK,40.845070422535215,38.028169014084504
