TOTeam,TimeoutsTaken,NextRoundWinRate,NR_CI_Low,NR_CI_High,ThreeRoundAvgWinRate,3R_CI_Low,3R_CI_High
GodL,7,28.57142857142857,0.0,0.7142857142857143,52.38095238095239,0.380952380952381,0.619047619047619
OUG,7,71.42857142857143,0.42857142857142855,1.0,57.14285714285714,0.47619047619047616,0.6666666666666666
Q9,6,66.66666666666666,0.3333333333333333,1.0,66.66666666666666,0.4444444444444444,0.8888888888888888
SPG,3,66.66666666666666,0.0,1.0,55.55555555555555,0.3333333333333333,0.6666666666666666
Wolves,7,42.857142857142854,0.14285714285714285,0.8571428571428571,52.38095238095239,0.2857142857142857,0.7619047619047619
XROCK,3,33.33333333333333,0.0,1.0,55.55555555555555,0.3333333333333333,0.6666666666666666
