FBWeapon,TotalFBs,FBShare
Sniper,101,49.75369458128079
USS,24,11.822660098522167
VMP,24,11.822660098522167
Nade,15,7.389162561576355
Shotgun,12,5.911330049261084
Oden,9,4.433497536945813
Pistol,7,3.4482758620689653
LMG,5,2.4630541871921183
Fennec,4,1.9704433497536946
Self-Nade,1,0.49261083743842365
