FBPlayer,FBTeam,TotalFBs,RoundsPlayed,FBRate
Ryu,Xceed,10,33,30.303030303030305
Six,WL,3,12,25.0
Marvel,Soul,15,72,20.833333333333332
Sunuo,XROCK,36,180,20.0
Yang1,AG,6,31,19.35483870967742
Liar,DVS,10,59,16.949152542372882
Carl,WL,2,12,16.666666666666668
Seven,OUG,31,190,16.31578947368421
Abhiz,GodL,24,152,15.789473684210526
Kakkii,Xceed,5,33,15.151515151515152
