Team,PlantRate,AttackWinRate,RetakeRate,DefenseWinRate
SPG,63.888888888888886,55.55555555555556,20.58823529411765,54.16666666666667
OUG,60.56338028169014,43.66197183098591,30.434782608695652,51.21951219512195
Q9,59.09090909090909,50.0,42.30769230769231,64.17910447761194
GodL,50.847457627118644,38.983050847457626,25.0,51.85185185185186
Wolves,42.10526315789473,43.42105263157895,37.5,57.35294117647059
XROCK,40.845070422535215,38.028169014084504,21.951219512195124,51.388888888888886
