Offense,AvgRoundLen_s,RoundElapsed_s_CI_low,RoundElapsed_s_CI_high,AvgFBElapsed_s,FBElapsed_s_CI_low,FBElapsed_s_CI_high,AvgPlantElapsed_s,PlantElapsed_s_CI_low,PlantElapsed_s_CI_high
GodL,70.76271186440678,64.4563559322034,77.10169491525424,24.661016949152543,20.491101694915255,28.864830508474576,52.7,45.49916666666667,60.568333333333335
OUG,73.26760563380282,66.71760563380282,79.83239436619718,24.577464788732396,21.111267605633802,28.437323943661973,50.116279069767444,42.393604651162796,58.44244186046512
Q9,77.18181818181819,71.24242424242425,82.53030303030303,28.515151515151516,24.13598484848485,33.50037878787879,54.64102564102564,47.151923076923076,61.61730769230769
SPG,84.95833333333333,77.2357638888889,92.47361111111111,29.40277777777778,24.625,34.236111111111114,68.6304347826087,59.34782608695652,78.9375
Wolves,94.9342105263158,88.69703947368421,100.85592105263159,32.223684210526315,27.576973684210525,37.19835526315789,80.875,72.49921875,89.25234375
XROCK,86.73239436619718,80.15070422535211,93.25774647887323,35.225352112676056,29.111971830985915,41.565140845070424,62.93103448275862,53.442241379310346,72.24396551724138
